date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary
21_03_05,Adam Henrique,C,ANA,COL,1.2173986557889813,0.6086993278944907,5.782643614997661,3.804370799340567,0.6178298178129082,16.663333333333362,0.6782761948722265,0.6905317529125572,2.2,8.5,3700
21_03_05,Adrian Kempe,W,LAK,STL,0.6393748334961382,0.4795311251221037,7.35281058520559,1.5984370837403454,0.6889263830920889,17.000555555555522,0.550432414353288,0.7783144153112268,2.6,6.7,4800
21_03_05,Alex DeBrincat,W,CHI,TBL,1.4372822299651564,1.3066202090592334,11.106271777003483,1.56794425087108,1.0335365853658536,19.199444444444445,0.7158334110017042,0.8527841185578257,2.6,14.4,7100
21_03_05,Alex Iafallo,W,LAK,STL,0.38948393378773044,1.428107757221678,6.36157091853293,1.9474196689386523,0.6011035378123972,20.24555555555559,0.8669198540606418,0.807588697071124,2.6,10.7,4700
21_03_05,Alex Killorn,W,TBL,CHI,0.7692636437454579,1.2308218299927325,6.307961878712755,0.6154109149963662,0.6615667336210937,17.931666666666686,0.8291554067796787,0.8237420345304277,3.5,10.1,4700
21_03_05,Alex Ovechkin,W,WSH,BOS,1.5010423905489914,0.8756080611535783,10.257123002084773,2.7519110493398173,0.875608061153578,19.991111111111135,0.5800397642738093,0.6790719667694546,2.8,14.3,7900
21_03_05,Alex Tuch,W,VGK,SJS,1.217038539553756,0.9127789046653169,8.367139959432071,2.281947261663292,0.7500000000000021,15.766111111111071,0.4896956359151452,0.8548945171139639,3.5,10.2,4800
21_03_05,Alexander Volkov,W,TBL,CHI,0.7298563799421325,0.5629308481959544,5.251345834541225,3.208604807353445,0.5892587016217826,10.115501881180158,0.4683107873440213,0.0,3.5,3.1,3000
21_03_05,Anders Bjork,W,BOS,WSH,0.18751953328471763,0.5625585998541529,2.8127929992707643,2.062714866131894,0.26815293259714623,11.940555555555532,0.6432039929939717,0.0,3.2,2.2,3100
21_03_05,Andre Burakovsky,W,COL,ANA,0.9211480233698656,1.8422960467397311,4.605740116849328,1.8422960467397311,0.4743912320354808,15.0738888888889,0.814237593013757,0.512363679403465,3.3,8.4,4800
21_03_05,Andreas Athanasiou,W,LAK,STL,1.3025780189959273,0.6512890094979636,7.4898236092265815,1.3025780189959273,0.8222523744911793,13.945555555555583,0.6746345928502556,0.6332338666845998,2.6,7.9,3700
21_03_05,Anthony Cirelli,C,TBL,CHI,0.7464543418760917,1.1943269470017468,6.419507340134389,2.6872356307539302,0.5837272953471039,17.826666666666604,0.8680751259166737,0.5428348905308429,3.5,10.1,5700
21_03_05,Anze Kopitar,C,LAK,STL,0.6028333165879659,1.2056666331759318,5.907766502562066,3.134733246257423,0.8258816437255135,22.014999999999922,0.7545308011040837,0.732662661766752,2.6,12.8,7400
21_03_05,Austin Wagner,W,LAK,STL,0.9665467432744467,0.5799280459646681,8.312301992160242,1.9330934865488933,0.6243891961552925,10.4711111111111,0.626212864227393,0.0,2.6,5.2,3600
21_03_05,Barclay Goodrow,W,TBL,CHI,0.8358098068350629,1.0029717682020756,5.18202080237739,2.8417533432392137,0.7455423476968761,14.837222222222275,0.6076058101165052,0.0,3.5,4.7,3600
21_03_05,Blake Coleman,W,TBL,CHI,0.46929996089166826,0.9385999217833365,7.97809933515836,2.033633163863896,1.0496675791943644,15.76666666666671,0.6983212926895148,0.0,3.5,7.4,3800
21_03_05,Blake Lizotte,C,LAK,STL,0.3520610239108117,0.8801525597770291,4.928854334751364,2.288396655420276,0.5122487897902308,13.633333333333319,0.6822830674099238,0.0,2.6,2.7,3200
21_03_05,Brad Marchand,W,BOS,WSH,1.5843168633726772,1.7283456691338297,7.6335267053410805,1.2962592518503722,0.7820764152830578,18.539444444444424,0.8327961684657408,0.7874288149813541,3.2,14.8,7500
