date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
19_10_13,PIT,Sidney Crosby,C,15.183333333333,0.0,2.0,1.0,0.0,0.14,2.9166666666667,0.0,0.0,1.0,0.0,0.16,0.3,0.0,0.0,0.0,0.0,0.0,17.6,1.6,0.0,18.3999999999997,19.200000000000003,62.60869565217494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Kris Letang,D,17.95,0.0,2.0,2.0,0.0,0.06,2.0666666666667,0.0,0.0,1.0,0.0,0.04,5.3333333333333,0.0,0.0,0.0,0.0,0.0,19.2,1.6,0.0,25.35,20.8,49.230769230769226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Sam Lafferty,C,8.3166666666667,2.0,0.0,3.0,2.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,5.0166666666667,0.0,0.0,1.0,0.0,0.11,32.0,0.0,1.6,13.3333333333334,33.6,151.19999999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Zach Aston-Reese,C,11.6,1.0,1.0,4.0,4.0,0.37,0.033333333333333,0.0,0.0,0.0,0.0,0.0,4.7166666666667,1.0,0.0,1.0,0.0,0.09,32.8,0.0,15.6,16.350000000000033,48.4,177.61467889908218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Patrick Marleau,C,13.566666666667,0.0,1.0,0.0,1.0,0.07,1.8666666666667,0.0,0.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.6,0.0,15.4333333333337,11.2,43.54211663066851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Dustin Brown,L,13.316666666667,1.0,0.0,1.0,0.0,0.22,3.8333333333333,0.0,0.0,1.0,0.0,0.1,1.5666666666667,0.0,0.0,0.0,0.0,0.0,13.6,1.6,0.0,18.716666666667,15.2,48.726625111308124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Paul Stastny,C,14.033333333333,0.0,1.0,1.0,0.0,0.08,3.0333333333333,2.0,1.0,2.0,0.0,0.27,1.0333333333333,0.0,0.0,0.0,0.0,0.0,9.6,36.7,0.0,18.0999999999996,46.300000000000004,153.4806629834288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Anze Kopitar,C,13.083333333333,0.0,1.0,1.0,0.0,0.03,4.0166666666667,0.0,0.0,2.0,0.0,0.12,1.3833333333333,0.0,0.0,0.0,0.0,0.0,9.6,3.2,0.0,18.483333333333,12.8,41.550946798918694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Mathieu Perreault,C,12.416666666667,1.0,0.0,1.0,1.0,0.08,3.1666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,15.5833333333337,15.2,58.524064171121616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Logan Couture,C,13.0,0.0,1.0,2.0,1.0,0.13,1.9166666666667,0.0,0.0,0.0,0.0,0.0,2.2333333333333,0.0,1.0,0.0,0.0,0.0,12.799999999999999,0.0,10.0,17.15,22.799999999999997,79.76676384839651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
