date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_01_08,TOR,Auston Matthews,C,20.816666666667,2,0,7,1,0.5,4.75,0.0,0.0,1.0,0.0,0.13,0.11666666666667,0.0,0.0,0.0,0.0,0.0,36.800000000000004,1.6,0.0,25.68333333333367,38.400000000000006,89.70798182997937
20_01_08,WPG,Blake Wheeler,R,14.05,0,1,3,1,0.21,2.8333333333333,0.0,0.0,1.0,0.0,0.03,0.2,0.0,0.0,0.0,0.0,0.0,14.4,1.6,0.0,17.0833333333333,16.0,56.19512195121962
20_01_08,DAL,Blake Comeau,L,14.016666666667,1,0,3,0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,2.1833333333333,0.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0,16.2000000000003,16.8,62.22222222222107
20_01_08,L.A,Anze Kopitar,C,16.733333333333,1,0,2,2,0.15,2.4333333333333,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,20.916666666666302,18.4,52.780876494024824
20_01_08,DAL,Andrew Cogliano,C,11.783333333333,0,1,1,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.8166666666667,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,13.5999999999997,9.6,42.352941176471525
20_01_08,WSH,Nicklas Backstrom,C,11.35,1,0,3,1,0.13,6.0666666666667,0.0,0.0,1.0,0.0,0.02,0.25,0.0,0.0,0.0,0.0,0.0,18.400000000000002,1.6,0.0,17.6666666666667,20.000000000000004,67.92452830188667
20_01_08,L.A,Tyler Toffoli,R,15.516666666667,0,1,1,1,0.13,2.4333333333333,0.0,0.0,0.0,0.0,0.0,0.26666666666667,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,18.21666666666697,11.2,36.88929551692527
20_01_08,WSH,Evgeny Kuznetsov,C,12.966666666667,0,1,0,0,0.05,6.1333333333333,0.0,0.0,0.0,0.0,0.36,0.066666666666667,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,19.166666666666966,8.0,25.043478260869176
20_01_08,WPG,Mark Scheifele,C,20.583333333333,1,0,2,0,0.15,3.0333333333333,0.0,0.0,0.0,0.0,0.0,0.066666666666667,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,23.683333333332968,15.2,38.508092892329934
20_01_08,PHI,Sean Couturier,C,15.266666666667,0,1,4,0,1.01,2.0,0.0,0.0,0.0,0.0,0.1,2.65,0.0,0.0,1.0,0.0,0.08,14.4,0.0,1.6,19.916666666667,16.0,48.200836820082884
20_01_08,TOR,Morgan Rielly,D,20.483333333333,0,1,0,1,0.08,2.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,1.0,0.0,0.03,9.6,0.0,1.6,24.483333333333,11.2,27.447243022464633
20_01_08,WSH,Tom Wilson,R,11.533333333333,0,1,2,0,0.09,4.6166666666667,0.0,0.0,1.0,0.0,0.12,2.1,0.0,0.0,0.0,0.0,0.0,11.2,1.6,0.0,18.2499999999997,12.799999999999999,42.082191780822605
20_01_08,DAL,Esa Lindell,D,20.75,0,1,0,2,0.0,0.95,0.0,1.0,0.0,0.0,0.0,2.6833333333333,0.0,0.0,0.0,0.0,0.0,11.2,8.5,0.0,24.383333333333297,19.7,48.47573479152434
20_01_08,PHI,Michael Raffl,L,12.4,0,1,0,1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333,0.0,0.0,0.0,0.0,0.07,9.6,0.0,0.0,16.2333333333333,9.6,35.482546201232104
20_01_08,WPG,Tucker Poolman,D,21.633333333333,0,1,4,2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.9333333333333,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,24.5666666666663,17.6,42.985074626866314
20_01_08,PHI,Robert Hagg,D,12.433333333333,1,0,1,2,0.04,0.15,0.0,0.0,0.0,0.0,0.0,3.1666666666667,0.0,0.0,0.0,1.0,0.0,16.8,0.0,1.6,15.7499999999997,18.400000000000002,70.09523809523944
20_01_08,WPG,Nikolaj Ehlers,L,13.666666666667,1,0,4,0,0.04,0.66666666666667,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,14.533333333333669,18.4,75.96330275229181
