"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"287","Zach Sanford","STL","L","1","12.1","1","3","2","1","4","100.00","3","33.33","0.19","3","3","3","1","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","-"
"24","Corey Perry","DAL","R","1","11.466666666667","0","3","1","2","3","100.00","1","0.00","0.07","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0","-"
"87","Drew Doughty","L.A","D","1","17.733333333333","0","3","0","3","3","75.00","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","-"
"312","Aaron Ekblad","FLA","D","1","22.9","2","1","1","0","3","100.00","3","66.67","0.11","5","3","1","0","0","1","0","0","0","0","0","1","0","0","1","2","2","0","0","-"
"437","Robert Thomas","STL","C","1","12.083333333333","0","3","2","1","3","75.00","1","0.00","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","7","36.36"
"17","Jeff Carter","L.A","C","1","9.9333333333333","1","1","1","0","2","100.00","2","50.00","0.36","3","3","3","2","0","0","0","0","0","0","0","0","1","0","2","1","0","2","6","25.00"
"29","Evgeni Malkin","PIT","C","1","17.2","1","1","1","0","2","66.67","6","16.67","0.36","7","6","5","2","1","0","2","1","1","0","0","0","1","1","1","0","0","8","11","42.11"
"57","Claude Giroux","PHI","R","1","14.833333333333","2","0","0","0","2","100.00","3","66.67","0.28","3","3","2","2","0","0","2","1","1","0","0","0","1","0","0","0","0","11","8","57.89"
"64","Alex Killorn","T.B","C","1","12.583333333333","0","2","0","2","2","100.00","1","0.00","0.72","2","2","0","0","0","0","2","1","1","0","0","0","1","0","0","2","1","0","0","-"
"147","Tyler Toffoli","L.A","C","1","10.683333333333","1","1","0","1","2","100.00","2","50.00","0.05","3","2","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","-"
"163","Brett Connolly","FLA","R","1","15.866666666667","2","0","0","0","2","100.00","2","100.00","0.14","5","3","2","0","0","0","0","0","0","0","0","0","0","1","2","2","1","0","0","-"
"202","Jonathan Huberdeau","FLA","C","1","20.716666666667","0","2","2","0","2","100.00","0","-","0.19","2","2","2","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","-"
"235","Oskar Sundqvist","STL","C","1","12.216666666667","2","0","0","0","2","50.00","5","40.00","0.42","5","5","4","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0.00"
"250","Andreas Athanasiou","DET","C","1","15","0","2","0","2","2","100.00","4","0.00","0.08","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"276","Jason Dickinson","DAL","C","1","11.866666666667","1","1","1","0","2","66.67","1","100.00","0.09","2","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","6","2","75.00"
"286","Tyler Bertuzzi","DET","L","1","18.883333333333","2","0","0","0","2","100.00","3","66.67","0.24","4","4","3","2","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","-"
"290","Aleksander Barkov","FLA","C","1","20.05","0","2","0","2","2","100.00","2","0.00","0.35","4","3","2","2","0","1","0","0","0","0","0","0","0","1","0","0","0","13","8","61.90"
"352","Ondrej Kase","ANA","R","1","14.666666666667","1","1","1","0","2","100.00","3","33.33","0.6","5","5","4","2","0","1","0","0","0","0","0","0","2","0","0","1","0","0","1","0.00"
"370","Travis Konecny","PHI","C","1","15.533333333333","0","2","1","1","2","100.00","4","0.00","0.3","5","4","5","1","0","0","2","1","1","0","0","0","0","1","0","1","0","0","0","-"
"374","Mathew Barzal","NYI","C","1","14.316666666667","0","2","2","0","2","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","1","0","6","7","46.15"
"389","Anthony Cirelli","T.B","C","1","15.066666666667","1","1","1","0","2","100.00","3","33.33","0.29","6","4","4","2","0","0","0","0","0","0","0","0","0","0","2","2","0","9","4","69.23"
"465","Ilya Mikheyev","TOR","R","1","15.883333333333","0","2","1","1","2","100.00","4","0.00","0.37","8","8","3","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"1","Zdeno Chara","BOS","D","1","21.683333333333","0","1","1","0","1","100.00","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","-"
"14","Eric Staal","MIN","C","1","12.65","0","1","1","0","1","100.00","2","0.00","0.23","4","3","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","5","3","62.50"
"15","Ryan Suter","MIN","D","1","21.383333333333","0","1","0","1","1","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","-"
"18","Dustin Brown","L.A","L","1","13.083333333333","0","1","1","0","1","100.00","3","0.00","0.17","4","3","3","0","0","0","0","0","0","0","0","0","2","1","1","4","0","1","0","100.00"
"19","Brent Seabrook","CHI","D","1","11.433333333333","1","0","0","0","1","100.00","2","50.00","0.1","3","2","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","0","0","-"
"36","Andrej Sekera","DAL","D","1","18.483333333333","0","1","1","0","1","50.00","2","0.00","0.05","5","3","1","0","0","1","0","0","0","0","0","1","2","0","0","1","1","0","0","-"
"41","Anze Kopitar","L.A","C","1","14.866666666667","1","0","0","0","1","100.00","2","50.00","0.11","3","3","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","9","4","69.23"
"45","Marc-Edouard Vlasic","S.J","D","1","18.333333333333","0","1","1","0","1","100.00","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0","0","-"
"49","Anton Stralman","FLA","D","1","21.35","0","1","0","1","1","50.00","1","0.00","0.01","3","1","2","0","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","-"
"50","Patric Hornqvist","PIT","R","1","13.45","1","0","0","0","1","100.00","1","100.00","0.11","1","1","1","1","0","0","0","0","0","0","0","0","1","0","4","3","2","0","0","-"
"52","Brad Marchand","BOS","C","1","13.866666666667","1","0","0","0","1","100.00","1","100.00","0.1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0.00"
"62","Jonathan Toews","CHI","C","1","14.883333333333","0","1","0","1","1","50.00","4","0.00","0.31","5","4","4","1","0","1","0","0","0","0","0","0","0","0","3","3","1","10","6","62.50"
"63","Mathieu Perreault","WPG","C","1","14.183333333333","0","1","0","1","1","100.00","3","0.00","0.54","4","4","4","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"65","Jamie Benn","DAL","L","1","14.7","1","0","0","0","1","50.00","5","20.00","0.2","7","5","5","1","0","0","0","0","0","0","0","0","0","1","2","1","2","7","2","77.78"
"72","Logan Couture","S.J","C","1","15.816666666667","1","0","0","0","1","100.00","5","20.00","0.53","6","5","4","3","0","1","2","1","1","0","0","0","0","0","2","1","0","2","7","22.22"
"75","Patrick Kane","CHI","R","1","23.633333333333","0","1","0","1","1","100.00","7","0.00","0.77","8","7","5","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"82","Jake Muzzin","TOR","D","1","16.883333333333","0","1","0","1","1","50.00","3","0.00","0.1","7","5","1","0","0","0","2","1","1","0","0","0","0","0","1","3","0","0","0","-"
"93","Luca Sbisa","WPG","D","1","13.266666666667","1","0","0","0","1","100.00","2","50.00","0.29","3","2","2","1","0","0","0","0","0","0","0","1","0","1","1","2","0","0","0","-"
"97","Roman Josi","NSH","D","1","14.583333333333","0","1","1","0","1","100.00","0","-","0.21","6","2","4","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"106","Cam Atkinson","CBJ","R","1","14.7","0","1","0","1","1","100.00","2","0.00","0.13","3","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"111","Mike Hoffman","FLA","C","1","15.566666666667","0","1","0","1","1","100.00","1","0.00","0.04","2","1","2","1","1","0","0","0","0","0","0","0","2","0","1","1","1","0","0","-"
"116","Jakob Silfverberg","ANA","R","1","14.783333333333","0","1","1","0","1","100.00","2","0.00","0.06","4","2","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","-"
"118","Victor Hedman","T.B","D","1","15.9","0","1","1","0","1","50.00","1","0.00","0.05","2","1","1","0","0","0","0","0","0","0","0","0","1","1","0","2","1","0","0","-"
"119","Matt Duchene","NSH","C","1","12.95","1","0","0","0","1","100.00","1","100.00","0.17","2","2","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","5","5","50.00"
"129","Brayden McNabb","VGK","D","1","17.583333333333","1","0","0","0","1","100.00","1","100.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","1","1","7","2","0","0","0","-"
"131","Tyson Barrie","TOR","D","1","20.15","1","0","0","0","1","100.00","2","50.00","0.08","3","3","1","0","0","0","0","0","0","0","0","0","0","1","4","2","1","0","0","-"
"132","Brian Dumoulin","PIT","D","1","16.416666666667","0","1","0","1","1","33.33","0","-","0.04","5","3","0","0","0","0","0","0","0","0","0","0","2","1","1","4","0","0","0","-"
"144","Calle Jarnkrok","NSH","C","1","13.666666666667","0","1","1","0","1","100.00","3","0.00","0.47","3","3","2","2","0","1","0","0","0","0","0","1","0","1","0","0","0","1","1","50.00"
"146","Jason Zucker","MIN","L","1","11.1","1","0","0","0","1","100.00","2","50.00","0.27","3","3","1","1","0","0","0","0","0","0","0","0","1","0","0","1","1","3","0","100.00"
"153","Brock Nelson","NYI","C","1","12.083333333333","1","0","0","0","1","100.00","2","50.00","0.15","3","2","3","2","0","0","0","0","0","0","0","0","2","0","1","1","1","6","3","66.67"
"154","Kevin Hayes","PHI","R","1","12.2","1","0","0","0","1","100.00","1","100.00","0.27","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","7","30.00"
"162","Erik Gudbranson","ANA","D","1","21.1","0","1","0","1","1","50.00","2","0.00","0.06","6","4","1","0","0","1","0","0","0","0","0","0","2","0","0","1","3","0","0","-"
"164","Ryan Johansen","NSH","C","1","14.95","1","0","0","0","1","100.00","2","50.00","0.27","3","2","3","1","0","0","0","0","0","0","0","1","1","0","0","0","0","14","4","77.78"
"165","Tyler Seguin","DAL","C","1","16.566666666667","1","0","0","0","1","50.00","3","33.33","1.21","4","4","3","3","0","0","0","0","0","0","0","0","2","1","1","0","0","7","4","63.64"
"168","Mikael Granlund","NSH","C","1","13.3","0","1","0","1","1","100.00","2","0.00","0.08","3","2","1","1","0","0","2","1","1","0","0","0","2","0","1","0","0","0","2","0.00"
"171","Bryan Rust","PIT","R","1","14.283333333333","1","0","0","0","1","33.33","3","33.33","0.22","4","4","4","2","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"178","Taylor Fedun","DAL","D","1","14.566666666667","0","1","1","0","1","100.00","2","0.00","0.04","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
