"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"123","Vincent Trocheck","CAR","C","1","12.716666666667","12.716666666667","0","9.44","0","9.44","9.44","100.00","0","-","0","4.72","0","4.72","0","0","0","9.44","4.72","4.72","0","0","0","9.44","0","0","4.72","0","51.9","37.75","273.16"
"160","Filip Forsberg","NSH","L","1","17.95","17.95","3.34","6.69","0","6.69","10.03","100.00","13.37","25.00","0.84","20.06","16.71","10.03","3.34","0","3.34","0","0","0","0","0","0","6.69","0","6.69","0","0","0","3.34","0.00"
"285","Kevin Rooney","NYR","C","1","11.55","11.55","0","5.19","0","5.19","5.19","100.00","5.19","0.00","0.09","5.19","5.19","0","0","0","0","0","0","0","0","0","0","0","0","5.19","0","5.19","15.58","41.56","141.68"
"177","Connor Brown","OTT","R","1","11.716666666667","11.716666666667","0","5.12","0","5.12","5.12","100.00","5.12","0.00","0.41","10.24","10.24","0","0","0","0","0","0","0","0","0","5.12","0","0","5.12","0","5.12","10.24","0","512.09"
"243","Oskar Lindblom","PHI","L","1","12.3","12.3","0","9.76","4.88","4.88","9.76","100.00","9.76","0.00","0.87","14.63","14.63","9.76","4.88","0","4.88","0","0","0","0","0","0","0","0","0","4.88","0","0","0","-"
"233","Nicolas Aube-Kubel","PHI","R","1","12.483333333333","12.483333333333","0","9.61","4.81","4.81","9.61","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.23","9.61","0","0","0","-"
"47","Sam Gagner","DET","C","1","12.933333333333","12.933333333333","0","4.64","0","4.64","4.64","100.00","0","-","0.06","9.28","4.64","4.64","0","0","0","0","0","0","0","0","0","4.64","0","0","4.64","4.64","9.28","13.92","185.57"
"206","Elias Lindholm","CGY","C","1","12.966666666667","12.966666666667","0","4.63","0","4.63","4.63","33.33","0","-","0","4.63","0","4.63","0","0","0","0","0","0","0","0","0","0","4.63","4.63","0","0","18.51","32.39","168.26"
"35","Cal Clutterbuck","NYI","R","1","13.216666666667","13.216666666667","0","4.54","0","4.54","4.54","50.00","9.08","0.00","0.69","13.62","13.62","13.62","4.54","0","0","0","0","0","0","0","0","9.08","0","22.7","0","4.54","0","0","-"
"135","Ryan Strome","NYR","C","1","13.35","13.35","0","4.49","0","4.49","4.49","50.00","0","-","0.08","4.49","4.49","0","0","0","4.49","0","0","0","0","0","0","0","8.99","4.49","4.49","0","13.48","22.47","168.54"
