"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"2","Thomas Greiss","DET","1","60","37","36","1","0.973","1.00","3.14","1.91","6","6","0","1.000","0.00","1.30","14","13","1","0.929","1.00","0.81","17","17","0","1.000","0.00","1.01","2","3","37.00","21.00"
"5","Malcolm Subban","CHI","1","62.933333333333","31","30","1","0.968","0.95","2.47","1.92","6","5","1","0.833","0.95","0.30","9","9","0","1.000","0.00","1.16","15","15","0","1.000","0.00","0.89","2","1","37.71","10.00"
"11","Jake Oettinger","DAL","1","62.9","35","33","2","0.943","1.91","1.91","2.82","8","6","2","0.750","1.91","-0.27","11","11","0","1.000","0.00","1.42","14","14","0","1.000","0.00","0.83","2","4","39.17","12.50"
"6","Chris Driedger","FLA","1","59.466666666667","38","35","3","0.921","3.03","1.25","1.94","6","3","3","0.500","3.03","-1.70","7","7","0","1.000","0.00","0.91","18","18","0","1.000","0.00","1.07","0","4","46.82","9.33"
"4","Robin Lehner","VGK","1","60","32","29","3","0.906","3.00","0.58","4.52","15","14","1","0.933","1.00","2.24","7","6","1","0.857","1.00","-0.09","8","7","1","0.875","1.00","-0.53","1","9","26.38","30.00"
"10","Carter Hart","PHI","1","60","37","33","4","0.892","4.00","0.14","3","11","9","2","0.818","2.00","0.38","8","7","1","0.875","1.00","0.04","17","16","1","0.941","1.00","0.01","2","5","34.62","29.25"
"8","Cal Petersen","L.A","1","58.466666666667","33","29","4","0.879","4.10","-0.31","2.12","4","4","0","1.000","0.00","0.86","9","6","3","0.667","3.08","-1.84","17","16","1","0.941","1.03","0.01","2","0","43.42","25.25"
"3","James Reimer","CAR","1","59.75","22","17","5","0.773","5.02","-2.54","1.4","5","4","1","0.800","1.00","0.08","8","6","2","0.750","2.01","-0.96","7","5","2","0.714","2.01","-1.59","2","1","42.86","30.20"
"7","Joonas Korpisalo","CBJ","1","57.35","26","20","6","0.769","6.28","-3.09","2.28","8","4","4","0.500","4.18","-2.27","8","8","0","1.000","0.00","1.04","10","8","2","0.800","2.09","-1.41","1","3","32.81","24.50"
"1","Craig Anderson","WSH","1","22.75","8","6","2","0.750","5.27","-1.11","0.72","3","2","1","0.667","2.64","-0.35","2","1","1","0.500","2.64","-0.74","3","3","0","1.000","0.00","0.18","1","2","25.50","17.50"
"9","Vitek Vanecek","WSH","1","36.6","14","10","4","0.714","6.56","-2.43","1.78","2","1","1","0.500","1.64","-0.57","2","0","2","0.000","3.28","-1.74","9","8","1","0.889","1.64","-0.47","0","3","49.07","22.25"
