"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"10","Carl Soderberg","CHI","C","1","0.66666666666667","0.66666666666667","0","90","0","90","90","inf","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","9000.00"
"22","Alex Killorn","T.B","L","1","1.3833333333333","1.3833333333333","0","43.37","0","43.37","43.37","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"1","Jason Spezza","TOR","C","1","0.13333333333333","0.13333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","450","0","45000.00"
"2","Duncan Keith","CHI","D","1","1.3333333333333","1.3333333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"3","Braydon Coburn","OTT","D","1","1.35","1.35","0","0","0","0","0","-","44.44","0.00","0.07","44.44","44.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"4","Shea Weber","MTL","D","1","1.2333333333333","1.2333333333333","0","0","0","0","0","-","48.65","0.00","0.02","48.65","48.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"5","Brad Richardson","NSH","R","1","2.15","2.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"6","Nate Thompson","WPG","C","1","0.66666666666667","0.66666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"7","Mark Giordano","CGY","D","1","3.9166666666667","3.9166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","15.32","15.32","0","0","15.32","0","0","-"
"8","Travis Zajac","N.J","C","1","1.3833333333333","1.3833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"9","Blake Comeau","DAL","L","1","1.7666666666667","1.7666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"11","Andrej Sekera","DAL","D","1","1.1166666666667","1.1166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"12","Alexander Edler","VAN","D","1","1.7","1.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"13","Jack Johnson","NYR","D","1","1.05","1.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"14","Marc Staal","DET","D","1","2.1166666666667","2.1166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"15","Andrew Cogliano","DAL","C","1","1.2833333333333","1.2833333333333","0","0","0","0","0","-","46.75","0.00","1.39","46.75","46.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"16","Kris Letang","PIT","D","1","0.51666666666667","0.51666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"17","Nick Foligno","CBJ","L","1","2.4666666666667","2.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"18","Trevor Lewis","WPG","C","1","0.66666666666667","0.66666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"19","Jeff Petry","MTL","D","1","1.8333333333333","1.8333333333333","0","0","0","0","0","-","32.73","0.00","0","32.73","32.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"20","Claude Giroux","PHI","C","1","0.43333333333333","0.43333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.46","0.00"
"21","Jordan Staal","CAR","C","1","2.0166666666667","2.0166666666667","0","0","0","0","0","-","29.75","0.00","0.01","29.75","29.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.5","29.75","1983.47"
"23","Justin Braun","PHI","D","1","2.85","2.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"24","Paul Byron","MTL","L","1","2.6166666666667","2.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","22.93","0","0","0","0","0","0","-"
"25","Sam Gagner","DET","C","1","2","2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","3000.00"
"26","P.K. Subban","N.J","D","1","0.65","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"27","Riley Nash","CBJ","C","1","0.88333333333333","0.88333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"28","Brendan Smith","NYR","D","1","1.9","1.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.58","0","0","-"
"29","Brandon Sutter","VAN","C","1","2.0333333333333","2.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.52","0","2950.82"
"30","Mikael Backlund","CGY","C","1","1.8333333333333","1.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.73","0.00"
"31","Ryan McDonagh","T.B","D","1","1.8333333333333","1.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.73","0","0","-"
"32","Jake Muzzin","TOR","D","1","1.2333333333333","1.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"33","Jay Beagle","VAN","C","1","1.45","1.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.38","0","4137.93"
"34","Steven Stamkos","T.B","C","1","0.3","0.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","200","10000.00"
"35","Zach Bogosian","TOR","D","1","1.0333333333333","1.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"36","Tyler Myers","VAN","D","1","2.7666666666667","2.7666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.37","0","0","-"
"37","Michael Del Zotto","CBJ","D","1","1","1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"38","Travis Hamonic","VAN","D","1","0.93333333333333","0.93333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"39","TJ Brodie","TOR","D","1","0.2","0.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"40","Mark Borowiecki","NSH","D","1","3.15","3.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
