first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tuukka,Rask,G,,1,,YES,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,8400,6,-0.8,17.6,30.4,20.2,2.40
Carter,Hart,G,,1,,YES,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,7800,14,8.8,21.4,34.4,18.8,2.41
Carey,Price,G,,1,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,8600,22,-2.4,11.0,25.6,18.7,2.17
Connor,Hellebuyck,G,,1,,YES,2021-02-21,All Day,WPG,VAN,+1.5,6,3,8300,29,8.8,19.4,40.8,18.3,2.21
Braden,Holtby,G,,1,,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,6900,9,0.8,15.5,36.8,18.1,2.63
David,Pastrnak,W,,1,1,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,8600,31,0.0,12.7,22.1,17.3,2.01
Matt,Murray,G,,2,,YES,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,6600,30,-8.0,5.4,17.6,16.8,2.55
Jake,Allen,G,,2,,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,8600,22,10.4,21.3,35.2,16.4,1.91
Patrice,Bergeron,C,,1,1,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,7900,17,1.6,10.7,23.2,15.5,1.97
Mark,Scheifele,C,,1,1,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,8000,16,15.2,20.4,34.9,15.3,1.91
Brad,Marchand,W,,1,1,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,7900,31,1.6,13.6,28.0,15.1,1.91
Kyle,Connor,W,,1,1,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,6500,2,3.2,12.7,24.8,14.7,2.26
Nikolaj,Ehlers,W,,2,2,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,7000,2,3.2,13.1,21.6,14.6,2.09
Blake,Wheeler,W,,1,1,,2021-02-21,All Day,WPG,VAN,+1.5,6,3,6800,2,3.2,11.1,22.1,14.5,2.13
Brendan,Gallagher,W,,1,1,,2021-02-21,All Day,MTL,OTT,-1.5,6.5,3.9,7100,14,0.0,9.1,28.0,13.8,1.94
Elias,Pettersson,C,,2,1,,2021-02-21,All Day,VAN,WPG,-1.5,6,3,6900,22,1.6,9.7,16.0,13.7,1.98
