"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"143","Connor McDavid","EDM","C","1","3.8","3","1","1","0","4","100.00","4","75.00","0.25","4","4","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"28","Alex Killorn","T.B","C","1","4.05","2","1","0","1","3","75.00","2","100.00","0.27","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"39","Steven Stamkos","T.B","C","1","3.9333333333333","1","2","1","1","3","75.00","1","100.00","0.1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"52","Victor Hedman","T.B","D","1","2.2333333333333","0","3","2","1","3","100.00","1","0.00","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"79","Nikita Kucherov","T.B","R","1","3.9333333333333","1","2","1","1","3","75.00","1","100.00","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"87","Oscar Klefbom","EDM","D","1","4.4","0","3","2","1","3","75.00","1","0.00","0.04","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"123","Leon Draisaitl","EDM","C","1","3.8","0","3","1","2","3","75.00","2","0.00","0.25","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","33.33"
"95","Teuvo Teravainen","CAR","L","1","2.3666666666667","0","2","2","0","2","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"186","Andrei Svechnikov","CAR","R","1","2.3666666666667","1","1","0","1","2","100.00","1","100.00","0.05","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","-"
"3","Mikko Koivu","MIN","C","1","2.25","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
