"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"44","Tyler Myers","VAN","D","1","0.2","0.2","0","300","0","300","300","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"5","Corey Perry","MTL","R","1","0.55","0.55","0","109.09","0","109.09","109.09","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"117","Pavel Buchnevich","NYR","R","1","1.6333333333333","1.6333333333333","0","36.73","0","36.73","36.73","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"40","Jakub Voracek","PHI","R","1","1.95","1.95","0","30.77","0","30.77","30.77","100.00","30.77","0.00","3.38","30.77","30.77","30.77","30.77","0","0","0","0","0","0","0","0","0","0","0","30.77","0","0","0","-"
"28","Jordan Staal","CAR","C","1","2.1166666666667","2.1166666666667","0","28.35","0","28.35","28.35","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.35","28.35","1417.32"
"199","Josh Norris","OTT","C","1","3.2333333333333","3.2333333333333","0","18.56","0","18.56","18.56","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.67","18.56","1391.75"
"158","Evgeny Svechnikov","DET","R","1","3.4666666666667","3.4666666666667","0","17.31","0","17.31","17.31","100.00","0","-","0","17.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"87","Jonathan Huberdeau","FLA","L","1","4.8","4.8","0","12.5","0","12.5","12.5","50.00","25","0.00","0.97","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"18","Keith Yandle","FLA","D","1","5","5","0","12","0","12","12","50.00","0","-","0","24","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"1","Joe Thornton","TOR","C","1","2.2333333333333","2.2333333333333","0","0","0","0","0","-","26.87","0.00","2.71","26.87","26.87","26.87","26.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"2","Jason Spezza","TOR","C","1","1.65","1.65","0","0","0","0","0","-","72.73","0.00","4.55","72.73","72.73","36.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.73","0","3636.36"
"3","Duncan Keith","CHI","D","1","1.5666666666667","1.5666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"4","Braydon Coburn","OTT","D","1","0.11666666666667","0.11666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"6","Shea Weber","MTL","D","1","1.5333333333333","1.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"7","Joe Pavelski","DAL","C","1","2.1333333333333","2.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.13","28.13","1406.25"
"8","Mark Giordano","CGY","D","1","0.63333333333333","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"9","Evgeni Malkin","PIT","C","1","2.5","2.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","-"
"10","Blake Wheeler","WPG","R","1","2.3833333333333","2.3833333333333","0","0","0","0","0","-","25.17","0.00","1.86","25.17","25.17","25.17","25.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"11","Travis Zajac","N.J","C","1","4.5333333333333","4.5333333333333","0","0","0","0","0","-","0","-","1.59","13.24","13.24","13.24","13.24","0","0","0","0","0","0","0","0","0","0","13.24","0","0","39.71","13.24","992.65"
"12","Carl Soderberg","CHI","C","1","2","2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","30","1500.00"
"13","Paul Stastny","WPG","C","1","1.9333333333333","1.9333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"14","Sidney Crosby","PIT","C","1","2.1166666666667","2.1166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","28.35","0","0","0","0","28.35","28.35","1417.32"
"15","Bobby Ryan","DET","R","1","3.2666666666667","3.2666666666667","0","0","0","0","0","-","36.73","0.00","6.06","36.73","36.73","18.37","18.37","0","18.37","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"16","Marc Staal","DET","D","1","0.41666666666667","0.41666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"17","Kris Letang","PIT","D","1","3.3833333333333","3.3833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"19","Darren Helm","DET","L","1","0.05","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"20","Anton Stralman","FLA","D","1","0.25","0.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"21","Patric Hornqvist","FLA","R","1","4.35","4.35","0","0","0","0","0","0.00","13.79","0.00","3.1","27.59","27.59","27.59","27.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"22","Andy Greene","NYI","D","1","0.46666666666667","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"23","Nick Foligno","CBJ","L","1","1.6","1.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.5","0","3750.00"
"24","Milan Lucic","CGY","L","1","0.83333333333333","0.83333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"25","Cal Clutterbuck","NYI","R","1","0.46666666666667","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"26","Jeff Petry","MTL","D","1","0.28333333333333","0.28333333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"27","Claude Giroux","PHI","C","1","1.1666666666667","1.1666666666667","0","0","0","0","0","-","0","-","2.77","51.43","51.43","51.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"29","Artem Anisimov","OTT","C","1","2.9333333333333","2.9333333333333","20.45","0","0","0","20.45","100.00","20.45","100.00","2.53","40.91","40.91","20.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"30","Mathieu Perreault","WPG","L","1","1.6166666666667","1.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"31","Alex Killorn","T.B","L","1","1.4666666666667","1.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"32","Jamie Benn","DAL","L","1","2.1833333333333","2.1833333333333","0","0","0","0","0","-","27.48","0.00","4.25","27.48","27.48","27.48","27.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.48","0.00"
"33","Pat Maroon","T.B","L","1","0.53333333333333","0.53333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","112.5","0","0","0","0","0","0","-"
"34","James van Riemsdyk","PHI","L","1","1.95","1.95","0","0","0","0","0","0.00","30.77","0.00","4.08","30.77","30.77","30.77","30.77","0","0","0","0","0","0","0","0","0","0","0","30.77","0","0","0","-"
"35","Sam Gagner","DET","C","1","3.6333333333333","3.6333333333333","0","0","0","0","0","-","16.51","0.00","5.2","49.54","33.03","33.03","16.51","0","0","0","0","0","0","0","0","0","0","0","16.51","0","0","16.51","0.00"
"36","P.K. Subban","N.J","D","1","5.35","5.35","0","0","0","0","0","-","0","-","0","11.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.43","0","0","0","-"
"37","Patrick Kane","CHI","R","1","2.2833333333333","2.2833333333333","0","0","0","0","0","-","26.28","0.00","1.36","26.28","26.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"38","Evgenii Dadonov","OTT","R","1","3.8333333333333","3.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"39","Mikael Backlund","CGY","C","1","0.65","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.31","0","9230.77"
"41","Jake Muzzin","TOR","D","1","0.11666666666667","0.11666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"42","Steven Stamkos","T.B","C","1","1.4666666666667","1.4666666666667","0","0","0","0","0","-","0","-","0","40.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.91","0","4090.91"
"43","Josh Bailey","NYI","R","1","4.2833333333333","4.2833333333333","0","0","0","0","0","-","14.01","0.00","0.93","28.02","14.01","28.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"45","Michael Del Zotto","CBJ","D","1","0.73333333333333","0.73333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"46","Jordan Eberle","NYI","R","1","1.7166666666667","1.7166666666667","0","0","0","0","0","-","34.95","0.00","11.1","34.95","34.95","34.95","34.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"47","Roman Josi","NSH","D","1","2.0833333333333","2.0833333333333","0","0","0","0","0","-","0","-","0","28.8","0","28.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"48","TJ Brodie","TOR","D","1","1.2666666666667","1.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"49","Matt Martin","NYI","L","1","0.46666666666667","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"50","Cam Atkinson","CBJ","R","1","2.5666666666667","2.5666666666667","0","0","0","0","0","-","0","-","0","46.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.38","0.00"
"51","Tyler Johnson","T.B","C","1","0.53333333333333","0.53333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"52","Kyle Palmieri","N.J","R","1","2.8166666666667","2.8166666666667","0","0","0","0","0","-","21.3","0.00","4.69","42.6","42.6","21.3","21.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"53","John Tavares","TOR","C","1","2.6166666666667","2.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.86","0.00"
"54","Victor Hedman","T.B","D","1","1.2833333333333","1.2833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"55","Matt Duchene","NSH","C","1","0.16666666666667","0.16666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","360","0.00"
"56","Nick Leddy","NYI","D","1","3.6166666666667","3.6166666666667","0","0","0","0","0","-","0","-","0","16.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"57","Chris Kreider","NYR","L","1","1.6166666666667","1.6166666666667","37.11","0","0","0","37.11","100.00","37.11","100.00","3.28","37.11","37.11","37.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
