date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,proj_FP/60,proj_FP,proj_value
21_03_05,Patrick Kane,W,CHI,TBL,1.4395127802897454,1.7717080372796865,10.96244348066806,1.2180492756297845,0.8227369198117542,21.85444444444447,0.8212332437787538,0.9230506737425256,2.6,15.7,8600,48.41575407709796,17.63499012856372,2.0505802475074093
21_03_05,David Pastrnak,W,BOS,WSH,1.951975213013177,2.0914020139426897,12.68783888458565,1.6731216111541518,0.9592563903950472,17.764444444444383,0.744206180909746,0.7283688232773576,3.2,17.6,8400,53.15722870777834,15.738477269999207,1.873628246428477
21_03_05,Alex DeBrincat,W,CHI,TBL,1.4372822299651564,1.3066202090592334,11.106271777003483,1.56794425087108,1.0335365853658536,19.199444444444445,0.7158334110017042,0.8527841185578257,2.6,14.4,7100,49.1490231429595,15.727232322199422,2.2151031439717492
21_03_05,Evander Kane,W,SJS,VGK,0.9290322580645168,1.4599078341013834,10.882949308755768,1.0617511520737333,1.032552995391706,18.93277777777776,0.8261673937307787,0.8308117921028083,2.5,11.4,6700,48.534054932930296,15.314741278327128,2.2857822803473327
21_03_05,Nathan MacKinnon,C,COL,ANA,0.3575566959112735,2.264525740771398,9.77321635490814,1.0726700877338204,0.8116536997185906,20.830555555555524,0.6943478026483076,0.7918441886893851,3.3,18.2,8300,44.0791145086879,15.303207393548613,1.8437599269335678
21_03_05,Alex Ovechkin,W,WSH,BOS,1.5010423905489914,0.8756080611535783,10.257123002084771,2.7519110493398173,0.875608061153578,19.99111111111113,0.5800397642738093,0.6790719667694546,2.8,14.3,7900,44.80367196407365,14.927919740326184,1.8896100937121751
21_03_05,Max Pacioretty,W,VGK,SJS,1.4679171145790848,1.4679171145790848,12.544018979130362,2.402046187493048,1.0675760833302437,17.600555555555562,0.5415299372032177,0.4803615219214864,3.5,14.9,7800,50.85196290804954,14.917046637869614,1.9124418766499505
21_03_05,Kevin Fiala,W,MIN,ARI,1.2605042016806751,1.2605042016806751,10.504201680672296,1.2605042016806751,1.0434173669467812,17.571666666666633,0.8208001641004643,0.7960166035903599,2.9,11.7,5900,48.409727451235675,14.17732656995491,2.4029367067720186
21_03_05,Patrice Bergeron,C,BOS,WSH,1.0795527567150742,1.233774579102942,9.099087520884195,3.5471019149209586,0.7063359465364343,17.644444444444467,0.8706664028390525,0.8126756378968953,3.2,14.7,7700,46.72790125824976,13.741464295944576,1.7846057527200747
21_03_05,Alex Pietrangelo,D,VGK,SJS,0.3991020204539792,0.8979795460214532,7.383387378398615,4.589673235220761,0.3272636567722629,24.77666666666663,0.3556852948606385,0.8286708878354735,3.5,13.9,6500,33.234006721052445,13.723798442087915,2.111353606475064
21_03_05,Logan Couture,C,SJS,VGK,1.8040243620383971,0.8326266286331065,7.493639657697957,3.1917354097602413,0.9061753141623642,18.776666666666628,0.8893562343454497,0.8729376858459222,2.5,13.1,7600,42.89799735243896,13.424689949238232,1.7664065722681885
